STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gujarat,INSULT TO THE MODESTY OF WOMEN,111,104,92,164,104,138,120,122,114,110,93,93,77,173,73,59
Haryana,INSULT TO THE MODESTY OF WOMEN,401,1424,1302,850,597,491,409,605,605,580,490,434,643,102,90,124
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,14,12,18,16,29,31,33,41,37,78,62,68,111,60,58,49
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,288,368,376,264,371,347,353,296,371,262,350,347,354,237,175,153
Jharkhand,INSULT TO THE MODESTY OF WOMEN,5,3,2,3,36,44,15,23,83,16,7,10,18,18,10,13
Karnataka,INSULT TO THE MODESTY OF WOMEN,81,100,84,57,71,38,28,44,64,83,81,100,137,170,154,160
Kerala,INSULT TO THE MODESTY OF WOMEN,81,102,68,133,175,222,262,258,395,537,573,498,404,257,267,328
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,751,783,705,804,792,762,780,758,728,918,762,774,736,429,390,358
Maharashtra,INSULT TO THE MODESTY OF WOMEN,1120,769,682,862,919,984,1039,1091,1099,1180,1071,1294,2632,1575,1119,924
Manipur,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,5
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0,0,1,0,0,0,1,4,1,0,1,0,0,54,20,17
Mizoram,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,4,0,0,0,1,0,1,0,0,29,2,1
Nagaland,INSULT TO THE MODESTY OF WOMEN,0,0,2,1,0,2,1,1,0,3,0,0,1,1,9,8
Odisha,INSULT TO THE MODESTY OF WOMEN,458,188,188,170,184,247,241,282,210,232,235,304,426,379,472,437
Punjab,INSULT TO THE MODESTY OF WOMEN,47,145,199,38,43,60,48,49,33,38,31,31,67,35,27,10
Rajasthan,INSULT TO THE MODESTY OF WOMEN,56,44,33,41,28,31,28,19,24,23,9,18,25,18,9,15
Sikkim,INSULT TO THE MODESTY OF WOMEN,14,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,1012,1718,881,1081,665,852,875,974,501,638,464,382,313,229,20,27
Tripura,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,1,0,4,4,5,9,9,7,7,11,6,1
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2575,1887,4970,2682,2881,2714,2882,3374,2524,11,3,8,25,29,11,35
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,84,97,98,110,89,113,63,306,249,165,72,73,72,4,12,3
West Bengal,INSULT TO THE MODESTY OF WOMEN,48,34,71,64,54,63,99,94,108,163,200,556,577,543,455,449
A&N Islands,INSULT TO THE MODESTY OF WOMEN,1,3,2,3,1,4,2,3,7,10,3,4,8,5,5,2
Chandigarh,INSULT TO THE MODESTY OF WOMEN,15,28,4,18,9,13,11,2,2,4,12,25,26,2,10,13
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,1
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Delhi UT,INSULT TO THE MODESTY OF WOMEN,90,128,105,130,225,144,167,130,118,80,162,208,916,1361,1492,918
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Puducherry,INSULT TO THE MODESTY OF WOMEN,27,26,27,30,26,39,32,21,16,22,16,2,8,8,10,3
INDIA,INSULT TO THE MODESTY OF WOMEN,9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173,12589,9735,8685,7305
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389,15084,12731,13450,13663
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,11,13,14,4,9,14,20,13,13,12,18,26,29,42,66,50
Assam,CRUELTY BY HUSBAND OR RELATIVES,1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407,8636,9626,11225,9321
Bihar,CRUELTY BY HUSBAND OR RELATIVES,1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686,4533,4672,3792,3794
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,840,653,601,741,732,717,824,897,893,861,834,980,1181,964,620,622
Goa,CRUELTY BY HUSBAND OR RELATIVES,11,8,24,17,11,14,14,12,21,17,18,24,40,35,19,23
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658,7812,5991,4133,3732
Haryana,CRUELTY BY HUSBAND OR RELATIVES,1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137,3617,3478,3525,3313
